Input.wordnet_id,Input.class_index,Input.feature_index,Input.feature_rank,Answer.main
n01560419,16,660,1,1
n01560419,16,762,4,0
n01560419,16,1541,5,1
n01560419,16,1780,2,0
n01580077,17,342,5,0
n01580077,17,422,2,0
n01580077,17,523,3,0
n01580077,17,660,4,0
n01580077,17,1780,1,0
n01582220,18,245,2,0
n01582220,18,422,5,0
n01582220,18,428,4,0
n01582220,18,889,1,0
n01582220,18,1563,3,0
n01592084,19,422,3,0
n01592084,19,660,1,0
n01592084,19,1339,4,0
n01592084,19,1637,5,0
n01592084,19,1780,2,0
n01601694,20,44,4,0
n01601694,20,422,1,0
n01601694,20,535,3,1
n01601694,20,820,2,1
n01601694,20,1500,5,0
n01608432,21,306,1,0
n01608432,21,374,4,0
n01608432,21,428,5,0
n01608432,21,551,3,0
n01608432,21,2032,2,0
n01614925,22,306,1,0
n01614925,22,551,5,0
n01614925,22,1892,3,0
n01614925,22,1964,4,0
n01614925,22,2032,2,0
n01616318,23,306,1,0
n01616318,23,374,4,0
n01616318,23,1236,5,0
n01616318,23,1964,2,0
n01616318,23,2032,3,0
n01622779,24,306,2,0
n01622779,24,542,3,0
n01622779,24,984,5,0
n01622779,24,1154,1,0
n01622779,24,2032,4,0
n01629819,25,520,1,0
n01629819,25,600,2,0
n01629819,25,1337,4,0
n01629819,25,1538,3,0
n01629819,25,1650,5,0
n01630670,26,71,3,1
n01630670,26,326,4,0
n01630670,26,1337,1,0
n01630670,26,1428,2,0
n01630670,26,1949,5,0
n01631663,27,170,1,0
n01631663,27,316,4,0
n01631663,27,886,2,0
n01631663,27,1042,5,0
n01631663,27,1337,3,0
n01632458,28,520,1,0
n01632458,28,600,2,0
n01632458,28,1337,4,0
n01632458,28,1419,3,0
n01632458,28,1885,5,0
n01632777,29,326,1,0
n01632777,29,686,2,0
n01632777,29,915,3,0
n01632777,29,1337,5,0
n01632777,29,1611,4,0
n01641577,30,270,2,0
n01641577,30,535,4,0
n01641577,30,597,1,0
n01641577,30,1101,5,0
n01641577,30,1818,3,0
n01644373,31,270,4,0
n01644373,31,326,2,0
n01644373,31,597,3,0
n01644373,31,788,5,0
n01644373,31,1818,1,0
n01644900,32,270,2,0
n01644900,32,326,3,0
n01644900,32,597,5,0
n01644900,32,1818,1,0
n01644900,32,1931,4,0
n01664065,33,227,4,0
n01664065,33,430,1,0
n01664065,33,491,3,1
n01664065,33,981,2,1
n01664065,33,1697,5,1
n01665541,34,430,5,0
n01665541,34,575,3,1
n01665541,34,612,2,1
n01665541,34,802,1,0
n01665541,34,996,4,0
n01667114,35,270,3,0
n01667114,35,423,5,0
n01667114,35,430,1,0
n01667114,35,808,4,0
n01667114,35,1014,2,0
n01667778,36,270,3,0
n01667778,36,430,1,0
n01667778,36,802,4,0
n01667778,36,808,2,0
n01667778,36,1014,5,0
n01669191,37,430,1,0
n01669191,37,600,2,0
n01669191,37,626,4,0
n01669191,37,880,5,1
n01669191,37,1014,3,0
n01675722,38,326,1,0
n01675722,38,363,3,0
n01675722,38,917,4,0
n01675722,38,1337,5,0
n01675722,38,1949,2,0
n01677366,39,326,3,0
n01677366,39,917,1,0
n01677366,39,984,4,0
n01677366,39,1081,5,0
n01677366,39,1616,2,0
n01682714,40,326,1,0
n01682714,40,788,3,0
n01682714,40,917,2,0
n01682714,40,1101,4,0
n01682714,40,1556,5,1
n01685808,41,90,5,0
n01685808,41,326,3,0
n01685808,41,880,2,1
n01685808,41,917,1,0
n01685808,41,1949,4,0
n01687978,42,326,1,0
n01687978,42,504,4,0
n01687978,42,523,3,0
n01687978,42,917,2,0
n01687978,42,1556,5,1
n01688243,43,167,2,0
n01688243,43,321,1,0
n01688243,43,326,4,0
n01688243,43,351,5,0
n01688243,43,1616,3,0
n01689811,44,326,2,0
n01689811,44,901,1,0
n01689811,44,917,3,0
n01689811,44,984,4,0
n01689811,44,1931,5,0
n01692333,45,363,4,0
n01692333,45,794,1,0
n01692333,45,1142,5,0
n01692333,45,1380,3,0
n01692333,45,1833,2,0
n01693334,46,326,1,0
n01693334,46,583,5,0
n01693334,46,788,3,0
n01693334,46,917,2,0
n01693334,46,1101,4,0
n01694178,47,326,2,0
n01694178,47,583,3,0
n01694178,47,917,4,0
n01694178,47,1429,5,0
n01694178,47,1616,1,0
n01695060,48,285,4,0
n01695060,48,490,5,0
n01695060,48,917,1,0
n01695060,48,984,3,0
n01695060,48,1616,2,0
n01697457,49,285,3,0
n01697457,49,802,4,0
n01697457,49,984,1,0
n01697457,49,1169,5,0
n01697457,49,1381,2,0
n01698640,50,285,3,0
n01698640,50,341,5,1
n01698640,50,802,1,0
n01698640,50,984,2,0
n01698640,50,1381,4,0
n01704323,51,586,5,0
n01704323,51,615,3,0
n01704323,51,1211,4,0
n01704323,51,1265,1,0
n01704323,51,1746,2,0
n01728572,52,880,5,0
n01728572,52,901,1,0
n01728572,52,1042,2,0
n01728572,52,1465,3,0
n01728572,52,1931,4,0
n01728920,53,28,3,0
n01728920,53,880,5,0
n01728920,53,901,1,0
n01728920,53,1042,2,0
n01728920,53,1931,4,0
n01729322,54,28,4,0
n01729322,54,143,1,0
n01729322,54,880,3,0
n01729322,54,901,2,0
n01729322,54,1800,5,0
n01729977,55,71,5,0
n01729977,55,583,2,0
n01729977,55,788,1,0
n01729977,55,901,3,0
n01729977,55,1423,4,0
n01734418,56,143,1,0
n01734418,56,363,3,0
n01734418,56,901,2,0
n01734418,56,1869,4,0
n01734418,56,1931,5,0
n01735189,57,143,4,0
n01735189,57,211,1,0
n01735189,57,502,3,0
n01735189,57,901,2,0
n01735189,57,1465,5,0
n01737021,58,143,3,0
n01737021,58,227,5,0
n01737021,58,341,2,1
n01737021,58,901,1,0
n01737021,58,944,4,0
n01739381,59,367,3,0
n01739381,59,583,4,0
n01739381,59,788,2,0
n01739381,59,901,1,0
n01739381,59,1423,5,0
n01740131,60,28,5,0
n01740131,60,143,1,0
n01740131,60,880,4,0
n01740131,60,901,2,0
n01740131,60,1931,3,0
n01742172,61,143,2,0
n01742172,61,219,5,0
n01742172,61,291,1,0
n01742172,61,901,4,0
n01742172,61,1650,3,0
n01744401,62,143,1,0
n01744401,62,219,4,0
n01744401,62,291,2,0
n01744401,62,623,5,0
n01744401,62,901,3,0
n01748264,63,28,1,0
n01748264,63,143,3,0
n01748264,63,306,4,0
n01748264,63,782,5,0
n01748264,63,901,2,0
n01749939,64,367,4,0
n01749939,64,583,3,0
n01749939,64,788,1,0
n01749939,64,901,2,0
n01749939,64,1582,5,0
n01751748,65,363,1,0
n01751748,65,901,2,0
n01751748,65,981,3,1
n01751748,65,1473,4,0
n01751748,65,1869,5,0
n01753488,66,143,1,0
n01753488,66,880,3,0
n01753488,66,901,2,0
n01753488,66,1240,5,0
n01753488,66,1300,4,0
n01755581,67,143,1,0
n01755581,67,880,2,0
n01755581,67,901,4,0
n01755581,67,1343,3,0
n01755581,67,1984,5,0
n01756291,68,143,1,0
n01756291,68,645,4,0
n01756291,68,880,2,0
n01756291,68,901,3,0
n01756291,68,1931,5,0
n01768244,69,177,1,0
n01768244,69,426,3,0
n01768244,69,666,4,0
n01768244,69,868,2,0
n01768244,69,1337,5,0
n01770081,70,95,5,0
n01770081,70,563,4,0
n01770081,70,700,3,0
n01770081,70,1390,2,0
n01770081,70,1954,1,0
n01770393,71,177,5,0
n01770393,71,825,3,0
n01770393,71,1248,4,0
n01770393,71,1337,1,0
n01770393,71,1650,2,0
n01773157,72,328,1,0
n01773157,72,625,3,0
n01773157,72,700,4,0
n01773157,72,742,2,0
n01773157,72,1828,5,0
n01773549,73,161,5,0
n01773549,73,328,2,0
n01773549,73,625,1,0
n01773549,73,700,3,0
n01773549,73,1390,4,0
n01773797,74,328,1,0
n01773797,74,625,2,0
n01773797,74,700,5,0
n01773797,74,1390,3,0
n01773797,74,1828,4,0
n01774384,75,328,1,0
n01774384,75,336,5,0
n01774384,75,625,4,0
n01774384,75,700,3,0
n01774384,75,742,2,0
n01774750,76,241,3,0
n01774750,76,444,2,0
n01774750,76,625,1,0
n01774750,76,700,4,0
n01774750,76,1178,5,0
n01775062,77,625,1,0
n01775062,77,700,3,0
n01775062,77,859,4,0
n01775062,77,1390,2,0
n01775062,77,1566,5,0
n01776313,78,336,5,0
n01776313,78,625,2,0
n01776313,78,971,1,0
n01776313,78,1390,4,0
n01776313,78,1941,3,0
n01784675,79,385,4,0
n01784675,79,1081,2,0
n01784675,79,1337,1,0
n01784675,79,1390,5,0
n01784675,79,1465,3,0
n01795545,80,163,2,1
n01795545,80,317,5,0
n01795545,80,565,1,0
n01795545,80,1236,4,0
n01795545,80,1964,3,0
n01796340,81,317,1,0
n01796340,81,820,3,1
n01796340,81,1236,4,0
n01796340,81,1297,5,0
n01796340,81,2021,2,0
n01797886,82,317,5,0
n01797886,82,957,1,0
n01797886,82,1236,2,0
n01797886,82,1297,3,0
n01797886,82,2021,4,0
n01798484,83,163,3,1
n01798484,83,565,1,1
n01798484,83,896,5,1
n01798484,83,1123,4,1
n01798484,83,1297,2,0
n01806143,84,192,5,0
n01806143,84,523,2,0
n01806143,84,736,1,0
n01806143,84,1590,3,0
n01806143,84,1964,4,0
n01806567,85,618,4,0
n01806567,85,660,5,1
n01806567,85,1297,3,0
n01806567,85,1702,2,0
n01806567,85,1942,1,0
n01807496,86,957,1,0
n01807496,86,1273,3,0
n01807496,86,1297,5,0
n01807496,86,1942,4,0
n01807496,86,1964,2,0
n01817953,87,306,1,0
n01817953,87,422,3,0
n01817953,87,1132,5,0
n01817953,87,1412,2,0
n01817953,87,1544,4,0
n01818515,88,86,2,0
n01818515,88,523,3,0
n01818515,88,1348,5,0
n01818515,88,1667,4,0
n01818515,88,1707,1,0
n01819313,89,675,1,0
n01819313,89,1171,5,0
n01819313,89,1297,4,0
n01819313,89,1921,2,0
n01819313,89,2032,3,0
n01820546,90,86,3,0
n01820546,90,1348,4,0
n01820546,90,1707,1,0
n01820546,90,1734,2,0
n01820546,90,1741,5,0
n01824575,91,86,4,0
n01824575,91,170,1,0
n01824575,91,428,2,0
n01824575,91,614,5,1
n01824575,91,748,3,0
n01828970,92,82,3,0
n01828970,92,86,1,0
n01828970,92,660,2,0
n01828970,92,736,5,0
n01828970,92,1707,4,0
n01829413,93,359,2,0
n01829413,93,1082,5,0
n01829413,93,1486,4,0
n01829413,93,1964,1,0
n01829413,93,2032,3,0
n01833805,94,422,4,0
n01833805,94,428,3,0
n01833805,94,660,2,0
n01833805,94,1084,5,1
n01833805,94,1912,1,0
n01843065,95,86,1,0
n01843065,95,660,3,0
n01843065,95,736,4,0
n01843065,95,1339,2,0
n01843065,95,1556,5,1
n01843383,96,359,2,0
n01843383,96,913,5,0
n01843383,96,1348,1,0
n01843383,96,1940,4,0
n01843383,96,1964,3,0
n01847000,97,341,4,1
n01847000,97,736,5,0
n01847000,97,925,3,1
n01847000,97,1113,1,0
n01847000,97,1339,2,0
n01855032,98,341,5,1
n01855032,98,925,1,1
n01855032,98,1113,2,0
n01855032,98,1173,3,0
n01855032,98,1339,4,0
n01855672,99,569,2,0
n01855672,99,613,5,0
n01855672,99,925,3,1
n01855672,99,1113,1,0
n01855672,99,1395,4,0
n01860187,100,569,4,0
n01860187,100,613,5,0
n01860187,100,925,3,1
n01860187,100,1113,1,0
n01860187,100,1395,2,0
n01871265,101,165,2,0
n01871265,101,513,4,1
n01871265,101,814,3,0
n01871265,101,980,1,0
n01871265,101,1461,5,0
n01872401,102,85,5,0
n01872401,102,226,3,0
n01872401,102,252,2,0
n01872401,102,298,4,0
n01872401,102,666,1,0
n01873310,103,227,5,0
n01873310,103,341,3,1
n01873310,103,423,4,0
n01873310,103,564,1,0
n01873310,103,1857,2,1
n01877812,104,65,1,0
n01877812,104,793,4,0
n01877812,104,1065,2,0
n01877812,104,1164,3,0
n01877812,104,1912,5,0
n01882714,105,218,1,0
n01882714,105,1065,5,0
n01882714,105,1321,3,0
n01882714,105,1544,2,0
n01882714,105,1571,4,0
n01883070,106,65,3,0
n01883070,106,85,1,0
n01883070,106,1003,5,0
n01883070,106,1516,4,0
n01883070,106,1544,2,0
n01910747,107,195,2,0
n01910747,107,205,5,0
n01910747,107,981,4,0
n01910747,107,999,3,0
n01910747,107,1406,1,1
n01914609,108,298,5,0
n01914609,108,944,2,0
n01914609,108,981,4,0
n01914609,108,1011,3,0
n01914609,108,1866,1,0
n01917289,109,636,1,0
n01917289,109,981,2,0
n01917289,109,1037,3,0
n01917289,109,1914,4,0
n01917289,109,2011,5,0
n01924916,110,817,3,0
n01924916,110,1319,4,0
n01924916,110,1390,5,0
n01924916,110,1499,1,0
n01924916,110,1753,2,0
n01930112,111,202,3,0
n01930112,111,402,1,0
n01930112,111,703,4,0
n01930112,111,905,2,0
n01930112,111,1672,5,0
n01943899,112,307,2,0
n01943899,112,390,4,0
n01943899,112,868,1,0
n01943899,112,1083,5,0
n01943899,112,1294,3,0
n01944390,113,284,4,0
n01944390,113,732,1,0
n01944390,113,1218,2,0
n01944390,113,1390,3,0
n01944390,113,1397,5,0
n01945685,114,732,5,0
n01945685,114,1147,4,0
n01945685,114,1390,2,0
n01945685,114,1428,1,0
n01945685,114,1475,3,1
n01950731,115,307,3,0
n01950731,115,944,4,0
n01950731,115,1319,5,0
n01950731,115,1499,2,0
n01950731,115,1753,1,0
n01955084,116,177,1,0
n01955084,116,868,2,0
n01955084,116,944,3,0
n01955084,116,1431,5,1
n01955084,116,1753,4,1
n01968897,117,385,2,0
n01968897,117,1507,5,0
n01968897,117,1658,4,0
n01968897,117,1732,3,0
n01968897,117,1895,1,0
n01978287,118,43,4,0
n01978287,118,74,3,0
n01978287,118,227,5,0
n01978287,118,952,1,0
n01978287,118,1650,2,0
n01978455,119,74,5,0
n01978455,119,433,4,1
n01978455,119,944,3,0
n01978455,119,952,1,0
n01978455,119,1650,2,0
n01980166,120,413,5,0
n01980166,120,433,4,1
n01980166,120,870,2,1
n01980166,120,944,3,0
n01980166,120,952,1,0
n01981276,121,48,3,0
n01981276,121,74,2,0
n01981276,121,625,4,0
n01981276,121,952,1,0
n01981276,121,1650,5,0
n01983481,122,725,5,0
n01983481,122,952,1,0
n01983481,122,1650,4,0
n01983481,122,1729,2,0
n01983481,122,2025,3,1
n01984695,123,74,4,0
n01984695,123,760,5,0
n01984695,123,944,1,0
n01984695,123,952,2,0
n01984695,123,1729,3,0
n01985128,124,110,4,0
n01985128,124,952,1,0
n01985128,124,1130,3,0
n01985128,124,1513,5,0
n01985128,124,1729,2,0
n01986214,125,952,1,0
n01986214,125,1178,4,0
n01986214,125,1195,5,0
n01986214,125,1726,2,0
n01986214,125,1828,3,0
n01990800,126,21,2,0
n01990800,126,177,1,0
n01990800,126,385,5,0
n01990800,126,825,3,0
n01990800,126,1390,4,0
n02002556,127,374,4,0
n02002556,127,601,2,0
n02002556,127,613,1,0
n02002556,127,675,5,0
n02002556,127,886,3,0
n02002724,128,306,5,0
n02002724,128,374,2,0
n02002724,128,601,4,0
n02002724,128,613,1,0
n02002724,128,886,3,0
n02006656,129,259,5,0
n02006656,129,601,4,0
n02006656,129,613,2,0
n02006656,129,675,1,0
n02006656,129,925,3,0
n02007558,130,48,3,0
n02007558,130,484,1,0
n02007558,130,613,2,0
n02007558,130,675,5,0
n02007558,130,925,4,0
n02009229,131,81,3,0
n02009229,131,422,2,0
n02009229,131,613,1,0
n02009229,131,925,4,1
n02009229,131,1975,5,0
n02009912,132,613,2,0
n02009912,132,675,1,0
n02009912,132,925,5,1
n02009912,132,1171,3,0
n02009912,132,1975,4,0
n02011460,133,614,4,1
n02011460,133,957,2,0
n02011460,133,1500,1,0
n02011460,133,1556,5,1
n02011460,133,1689,3,0
n02012849,134,569,2,0
n02012849,134,613,1,0
n02012849,134,1297,4,0
n02012849,134,1830,3,0
n02012849,134,1975,5,0
n02013706,135,374,2,0
n02013706,135,601,4,0
n02013706,135,613,3,0
n02013706,135,925,5,1
n02013706,135,1297,1,0
n02017213,136,44,1,0
n02017213,136,81,5,0
n02017213,136,523,3,0
n02017213,136,925,2,0
n02017213,136,1964,4,0
n02018207,137,44,4,0
n02018207,137,341,3,1
n02018207,137,422,5,0
n02018207,137,925,2,1
n02018207,137,1113,1,0
n02018795,138,126,4,0
n02018795,138,565,1,1
n02018795,138,569,2,0
n02018795,138,1297,3,0
n02018795,138,1830,5,0
n02025239,139,517,5,0
n02025239,139,585,2,0
n02025239,139,618,1,0
n02025239,139,1468,4,1
n02025239,139,1500,3,0
n02027492,140,618,4,0
n02027492,140,925,1,1
n02027492,140,1203,2,0
n02027492,140,1468,5,1
n02027492,140,1500,3,0
n02028035,141,618,5,0
n02028035,141,728,4,0
n02028035,141,886,3,0
n02028035,141,925,1,0
n02028035,141,1500,2,0
n02033041,142,427,3,0
n02033041,142,925,1,1
n02033041,142,957,4,0
n02033041,142,1468,5,1
n02033041,142,1500,2,0
n02037110,143,613,5,0
n02037110,143,618,4,0
n02037110,143,886,1,0
n02037110,143,925,2,0
n02037110,143,1468,3,1
n02051845,144,601,1,0
n02051845,144,613,2,0
n02051845,144,1082,5,0
n02051845,144,1113,4,0
n02051845,144,1297,3,0
n02056570,145,243,4,0
n02056570,145,520,3,0
n02056570,145,1289,1,0
n02056570,145,1329,2,0
n02056570,145,1348,5,0
n02058221,146,551,2,0
n02058221,146,1113,1,0
n02058221,146,1661,5,0
n02058221,146,1697,4,1
n02058221,146,2034,3,0
n02066245,147,249,4,1
n02066245,147,1697,2,1
n02066245,147,2006,3,0
n02066245,147,2012,5,0
n02066245,147,2034,1,0
n02071294,148,243,1,0
n02071294,148,1697,2,0
n02071294,148,2006,3,0
n02071294,148,2012,5,0
n02071294,148,2034,4,0
n02074367,149,564,1,0
n02074367,149,905,3,0
n02074367,149,981,4,1
n02074367,149,1230,2,1
n02074367,149,1697,5,1
n02077923,150,490,3,0
n02077923,150,491,2,1
n02077923,150,838,1,0
n02077923,150,1009,4,0
n02077923,150,1399,5,0
n02085620,151,663,4,0
n02085620,151,793,1,0
n02085620,151,964,2,0
n02085620,151,1065,5,0
n02085620,151,1708,3,0
n02085782,152,33,3,0
n02085782,152,532,2,0
n02085782,152,767,1,0
n02085782,152,874,5,0
n02085782,152,1907,4,0
n02085936,153,80,4,0
n02085936,153,151,1,0
n02085936,153,465,3,0
n02085936,153,1059,2,0
n02085936,153,2004,5,0
n02086079,154,303,2,0
n02086079,154,404,1,0
n02086079,154,597,5,0
n02086079,154,1059,4,0
n02086079,154,1065,3,0
n02086240,155,203,4,0
n02086240,155,404,2,0
n02086240,155,532,3,0
n02086240,155,1059,1,0
n02086240,155,1873,5,0
n02086646,156,748,2,0
n02086646,156,767,1,0
n02086646,156,1911,5,0
n02086646,156,1938,3,0
n02086646,156,2003,4,0
n02086910,157,333,1,0
n02086910,157,685,3,0
n02086910,157,692,5,0
n02086910,157,793,2,0
n02086910,157,2003,4,0
n02087046,158,3,3,0
n02087046,158,747,4,0
n02087046,158,793,1,0
n02087046,158,964,2,0
n02087046,158,1708,5,0
n02087394,159,3,5,0
n02087394,159,747,4,0
n02087394,159,1634,1,0
n02087394,159,1911,3,0
n02087394,159,2033,2,0
n02088094,160,333,3,0
n02088094,160,1059,1,0
n02088094,160,1143,2,0
n02088094,160,1395,5,0
n02088094,160,1856,4,1
n02088238,161,747,1,0
n02088238,161,767,3,0
n02088238,161,1217,4,0
n02088238,161,1395,5,0
n02088238,161,2003,2,0
n02088364,162,747,1,0
n02088364,162,748,4,0
n02088364,162,829,5,0
n02088364,162,1217,3,0
n02088364,162,2003,2,0
n02088466,163,747,1,0
n02088466,163,1448,3,0
n02088466,163,1641,4,0
n02088466,163,1946,5,0
n02088466,163,2033,2,0
n02088632,164,3,5,0
n02088632,164,578,1,0
n02088632,164,747,2,0
n02088632,164,1272,3,0
n02088632,164,1385,4,0
n02089078,165,220,4,0
n02089078,165,747,3,0
n02089078,165,1313,2,0
n02089078,165,1385,1,0
n02089078,165,1946,5,0
n02089867,166,747,1,0
n02089867,166,767,3,0
n02089867,166,829,4,0
n02089867,166,1217,5,0
n02089867,166,2003,2,0
n02089973,167,747,2,0
n02089973,167,748,4,0
n02089973,167,829,1,0
n02089973,167,1217,5,0
n02089973,167,2003,3,0
n02090379,168,66,3,0
n02090379,168,747,1,0
n02090379,168,976,5,0
n02090379,168,1911,2,0
n02090379,168,2033,4,0
n02090622,169,6,3,0
n02090622,169,103,2,0
n02090622,169,829,1,0
n02090622,169,1856,4,1
n02090622,169,1938,5,0
n02090721,170,103,2,0
n02090721,170,1065,4,0
n02090721,170,1272,1,0
n02090721,170,1544,5,0
n02090721,170,1745,3,0
n02091032,171,3,2,0
n02091032,171,103,1,0
n02091032,171,747,4,0
n02091032,171,888,5,0
n02091032,171,964,3,0
n02091134,172,3,2,0
n02091134,172,103,1,0
n02091134,172,829,3,0
n02091134,172,1708,5,0
n02091134,172,2003,4,0
n02091244,173,3,5,0
n02091244,173,103,1,0
n02091244,173,793,2,0
n02091244,173,1619,4,0
n02091244,173,2003,3,0
n02091467,174,148,5,0
n02091467,174,303,3,0
n02091467,174,813,2,0
n02091467,174,1065,1,0
n02091467,174,1489,4,0
n02091635,175,267,2,0
n02091635,175,684,4,0
n02091635,175,1059,1,0
n02091635,175,1745,5,0
n02091635,175,2033,3,0
n02091831,176,103,1,0
n02091831,176,829,5,0
n02091831,176,1272,4,0
n02091831,176,1558,3,0
n02091831,176,1856,2,1
n02092002,177,103,3,0
n02092002,177,1272,1,0
n02092002,177,1544,2,0
n02092002,177,1745,4,0
n02092002,177,1856,5,0
n02092339,178,3,3,0
n02092339,178,747,1,0
n02092339,178,1139,2,0
n02092339,178,1273,4,0
n02092339,178,1992,5,0
n02093256,179,3,5,0
n02093256,179,34,2,0
n02093256,179,747,4,0
n02093256,179,988,3,0
n02093256,179,1708,1,0
n02093428,180,3,2,0
n02093428,180,704,3,0
n02093428,180,747,5,0
n02093428,180,1634,4,0
n02093428,180,1708,1,0
n02093647,181,151,4,0
n02093647,181,218,3,0
n02093647,181,267,2,0
n02093647,181,1272,1,0
n02093647,181,1430,5,0
n02093754,182,303,2,0
n02093754,182,704,4,0
n02093754,182,741,3,0
n02093754,182,1059,5,0
n02093754,182,1745,1,0
n02093859,183,271,2,0
n02093859,183,1059,3,0
n02093859,183,1762,4,0
n02093859,183,1815,1,0
n02093859,183,1893,5,0
n02093991,184,66,2,0
n02093991,184,976,5,0
n02093991,184,1745,4,0
n02093991,184,1911,3,0
n02093991,184,2033,1,0
n02094114,185,66,5,0
n02094114,185,483,4,0
n02094114,185,1059,1,0
n02094114,185,1745,3,0
n02094114,185,2033,2,0
n02094258,186,483,3,0
n02094258,186,704,4,0
n02094258,186,964,5,0
n02094258,186,1059,2,0
n02094258,186,2033,1,0
n02094433,187,465,4,0
n02094433,187,483,5,0
n02094433,187,641,3,0
n02094433,187,685,2,0
n02094433,187,1059,1,0
n02095314,188,267,1,0
n02095314,188,829,3,0
n02095314,188,964,4,0
n02095314,188,1272,5,0
n02095314,188,1814,2,0
n02095570,189,267,1,0
n02095570,189,483,5,0
n02095570,189,1059,4,0
n02095570,189,1745,3,0
n02095570,189,2033,2,0
n02095889,190,151,1,0
n02095889,190,267,3,0
n02095889,190,1059,2,0
n02095889,190,1087,4,0
n02095889,190,2004,5,0
n02096051,191,267,5,0
n02096051,191,483,2,0
n02096051,191,684,3,0
n02096051,191,1745,4,0
n02096051,191,2033,1,0
n02096177,192,66,3,0
n02096177,192,80,5,0
n02096177,192,1059,1,0
n02096177,192,1272,4,0
n02096177,192,1745,2,0
n02096294,193,66,4,1
n02096294,193,483,5,0
n02096294,193,684,3,0
n02096294,193,1059,1,0
n02096294,193,2033,2,0
n02096437,194,203,2,0
n02096437,194,267,4,0
n02096437,194,704,5,0
n02096437,194,1059,1,0
n02096437,194,1272,3,0
n02096585,195,3,2,0
n02096585,195,404,1,0
n02096585,195,793,5,0
n02096585,195,1287,4,0
n02096585,195,2003,3,0
n02097047,196,267,1,0
n02097047,196,1059,2,0
n02097047,196,1092,4,0
n02097047,196,1272,3,0
n02097047,196,1884,5,0
n02097130,197,34,3,0
n02097130,197,267,5,0
n02097130,197,271,1,0
n02097130,197,1059,2,0
n02097130,197,1634,4,1
n02097209,198,267,1,0
n02097209,198,1059,2,0
n02097209,198,1092,4,0
n02097209,198,1272,3,0
n02097209,198,1544,5,0
n02097298,199,34,4,0
n02097298,199,271,1,0
n02097298,199,704,5,0
n02097298,199,793,3,0
n02097298,199,1059,2,0
n02097474,200,4,5,0
n02097474,200,184,4,0
n02097474,200,267,2,0
n02097474,200,333,3,0
n02097474,200,1059,1,0
n02097658,201,66,5,0
n02097658,201,333,3,0
n02097658,201,684,4,0
n02097658,201,685,2,0
n02097658,201,1059,1,0
n02098105,202,87,5,1
n02098105,202,151,2,0
n02098105,202,267,3,0
n02098105,202,1059,1,0
n02098105,202,1745,4,0
n02098286,203,66,3,1
n02098286,203,80,5,0
n02098286,203,151,1,0
n02098286,203,1059,2,0
n02098286,203,1272,4,0
n02098413,204,4,5,0
n02098413,204,203,3,0
n02098413,204,404,2,0
n02098413,204,1059,1,0
n02098413,204,1851,4,0
n02099267,205,34,2,0
n02099267,205,271,1,0
n02099267,205,1065,3,0
n02099267,205,1139,5,0
n02099267,205,1946,4,0
n02099429,206,34,3,0
n02099429,206,271,1,0
n02099429,206,1139,4,0
n02099429,206,1815,2,0
n02099429,206,1946,5,0
n02099601,207,704,4,0
n02099601,207,747,5,0
n02099601,207,1065,2,0
